"IndividualId","Time [min]","Organism|VenousBlood|Plasma|7E3|Concentration in container [µmol/l]"
0,6600,0.37411836
0,6615,0.37394276
0,6630,0.3737673
0,6645,0.37359193
0,6660,0.37341666
0,6675,0.3732415
0,6690,0.37306646
0,6705,0.37289152
0,6720,0.37271667
0,6735,0.37254193
0,6750,0.37236732
0,6765,0.3721928
0,6780,0.37201837
0,6795,0.37184405
0,6810,0.37166986
0,6825,0.37149575
0,6840,0.37132177
0,6855,0.37114787
0,6870,0.37097406
0,6885,0.37080038
0,6900,0.37062678
0,6915,0.3704533
0,6930,0.3702799
0,6945,0.3701066
0,6960,0.36993343
0,6975,0.36976036
0,6990,0.36958736
0,7005,0.36941448
0,7020,0.36924168
0,7035,0.369069
0,7050,0.36889642
0,7065,0.36872396
0,7080,0.36855155
0,7095,0.36837927
0,7110,0.36820707
0,7125,0.368035
0,7140,0.367863
0,7155,0.3676911
0,7170,0.3675193
0,7185,0.3673476
0,7200,0.367176
0,7215,0.36700448
0,7230,0.36683306
0,7245,0.36666176
0,7260,0.3664905
0,7275,0.3663194
0,7290,0.36614835
0,7305,0.36597744
0,7320,0.36580658
0,7335,0.36563584
0,7350,0.3654652
0,7365,0.36529464
0,7380,0.36512417
0,7395,0.36495382
0,7410,0.36478353
0,7425,0.36461335
0,7440,0.36444327
0,7455,0.36427328
0,7470,0.36410338
0,7485,0.36393356
0,7500,0.36376384
0,7515,0.36359423
0,7530,0.3634247
0,7545,0.36325526
0,7560,0.36308593
0,7575,0.36291665
0,7590,0.3627475
0,7605,0.36257842
0,7620,0.36240944
0,7635,0.36224055
0,7650,0.36207175
0,7665,0.36190304
0,7680,0.36173442
0,7695,0.3615659
0,7710,0.36139748
0,7725,0.36122912
0,7740,0.36106086
0,7755,0.36089268
0,7770,0.36072463
0,7785,0.36055663
0,7800,0.36038873
0,7815,0.36022094
0,7830,0.3600532
0,7845,0.35988557
0,7860,0.35971802
0,7875,0.35955057
0,7890,0.35938323
0,7905,0.35921595
0,7920,0.35904875
0,7935,0.35888165
0,7950,0.35871464
0,7965,0.35854772
0,7980,0.35838088
0,7995,0.35821414
0,8010,0.35804746
0,8025,0.3578809
0,8040,0.3577144
0,8055,0.357548
0,8070,0.3573817
0,8085,0.35721546
0,8100,0.35704932
0,8115,0.35688326
0,8130,0.3567173
0,8145,0.3565514
0,8160,0.35638562
0,8175,0.35621992
0,8190,0.3560543
0,8205,0.35588875
0,8220,0.3557233
0,8235,0.35555795
0,8250,0.35539266
0,8265,0.35522747
0,8280,0.35506237
0,8295,0.35489732
0,8310,0.3547324
0,8325,0.35456753
0,8340,0.35440275
0,8355,0.3542381
0,8370,0.35407346
0,8385,0.35390896
0,8400,0.35374454
0,8415,0.35358018
0,8430,0.3534159
0,8445,0.35325173
0,8460,0.35308763
0,8475,0.35292363
0,8490,0.35275972
0,8505,0.35259587
0,8520,0.3524321
0,8535,0.35226843
0,8550,0.35210484
0,8565,0.35194132
0,8580,0.35177788
0,8595,0.35161453
0,8610,0.35145128
0,8625,0.3512881
0,8640,0.351125
0,8655,0.350962
0,8670,0.35079908
0,8685,0.3506362
0,8700,0.35047346
0,8715,0.35031077
0,8730,0.35014817
0,8745,0.34998566
0,8760,0.3498232
0,8775,0.34966087
0,8790,0.3494986
0,8805,0.34933642
0,8820,0.3491743
0,8835,0.34901226
0,8850,0.3488503
0,8865,0.34868845
0,8880,0.3485267
0,8895,0.34836498
0,8910,0.34820336
0,8925,0.3480418
0,8940,0.34788036
0,8955,0.34771898
0,8970,0.34755766
0,8985,0.34739646
0,9000,0.34723532
0,9015,0.34707427
0,9030,0.3469133
0,9045,0.3467524
0,9060,0.3465916
0,9075,0.34643087
0,9090,0.3462702
0,9105,0.34610963
0,9120,0.34594914
0,9135,0.34578872
0,9150,0.3456284
0,9165,0.34546813
0,9180,0.34530798
0,9195,0.34514788
0,9210,0.34498787
0,9225,0.34482795
0,9240,0.3446681
0,9255,0.34450832
0,9270,0.3443486
0,9285,0.344189
0,9300,0.34402946
0,9315,0.34387
0,9330,0.34371063
0,9345,0.34355134
0,9360,0.3433921
0,9375,0.34323296
0,9390,0.3430739
0,9405,0.3429149
0,9420,0.342756
0,9435,0.3425972
0,9450,0.34243843
0,9465,0.34227976
0,9480,0.34212118
0,9495,0.34196267
0,9510,0.34180424
0,9525,0.34164587
0,9540,0.3414876
0,9555,0.3413294
0,9570,0.34117126
0,9585,0.34101322
0,9600,0.34085524
0,9615,0.34069735
0,9630,0.34053954
0,9645,0.3403818
0,9660,0.34022415
0,9675,0.34006658
0,9690,0.33990908
0,9705,0.33975166
0,9720,0.3395943
0,9735,0.33943704
0,9750,0.33927983
0,9765,0.33912274
0,9780,0.33896568
0,9795,0.33880872
0,9810,0.33865184
0,9825,0.33849505
0,9840,0.33833832
0,9855,0.33818164
0,9870,0.33802506
0,9885,0.33786857
0,9900,0.33771214
0,9915,0.3375558
0,9930,0.33739954
0,9945,0.33724335
0,9960,0.3370872
0,9975,0.33693117
0,9990,0.3367752
0,10005,0.33661932
0,10020,0.3364635
0,10035,0.33630776
0,10050,0.3361521
0,10065,0.33599654
0,10080,0.33584103
0,10095,0.33568558
0,10110,0.33553022
0,10125,0.33537495
0,10140,0.33521974
0,10155,0.33506462
0,10170,0.33490956
0,10185,0.3347546
0,10200,0.33459967
0,10215,0.33444485
0,10230,0.3342901
0,10245,0.3341354
0,10260,0.3339808
0,10275,0.33382627
0,10290,0.33367184
0,10305,0.33351743
0,10320,0.33336315
0,10335,0.33320892
0,10350,0.33305475
0,10365,0.33290067
0,10380,0.33274668
0,10395,0.33259276
0,10410,0.3324389
0,10425,0.3322851
0,10440,0.33213142
0,10455,0.33197778
0,10470,0.3318242
0,10485,0.33167073
0,10500,0.33151734
0,10515,0.331364
0,10530,0.33121073
0,10545,0.33105755
0,10560,0.33090445
0,10575,0.33075142
0,10590,0.33059844
0,10605,0.33044556
0,10620,0.33029276
0,10635,0.33014002
0,10650,0.32998735
0,10665,0.32983476
